Timestamp,MagX,MagY,MagZ,dMagX,dMagY,PWM_X,PWM_Y,CurrXPos,CurrXNeg,CurrYPos,CurrYNeg
13799439,-0.1255,-0.4282,-19.0504,32.0293,-7.7525,-14.46,67.69,-0.1129,0.1065,-0.1452,0.3194
13818609,-0.0862,-0.3463,-19.1040,8.9414,33.8339,3.12,14.65,0.0505,-0.0333,-0.3172,0.5151
13837779,-0.2524,-0.3956,-19.0150,-10.8575,8.8162,46.19,46.57,-0.5796,0.5774,-0.3215,0.5086
13856949,-0.1384,-0.3663,-18.9249,10.4590,15.8836,8.92,35.39,-0.1237,0.1258,-0.2634,0.4548
13876118,-0.0437,-0.4285,-18.8931,18.4726,6.5889,-12.36,53.40,0.0226,0.0118,-0.4656,0.7366
13895288,-0.0720,-0.4040,-18.9218,-12.8625,2.9449,22.94,53.62,-0.1538,0.1817,-0.1774,0.3387
13914458,-0.1958,-0.3174,-19.0042,-18.1727,-0.6819,45.59,45.11,-0.2634,0.2892,-0.3258,0.5043
13933628,-0.0370,-0.2990,-19.6268,35.6712,-26.3464,-30.49,68.20,-0.0849,0.0763,-0.1430,0.1086
13952799,-0.1043,-0.3746,-19.2585,-2.0160,-29.8859,16.62,82.33,-0.0527,0.1043,-0.2011,0.3108
13971968,-0.1050,-0.3665,-18.8776,-8.5615,-10.9373,23.26,62.25,-0.2226,0.2527,-0.2140,0.4054
13991138,-0.0587,-0.4057,-18.5607,9.2755,-9.6837,-1.06,66.48,0.0140,0.0312,-0.3022,0.5086
14010308,-0.0189,-0.3883,-18.6603,-8.3299,12.3718,10.97,41.99,-0.0333,0.0935,-0.4183,0.6118
14029478,0.0408,-0.3483,-19.1827,4.0642,8.2152,-9.78,40.55,0.1344,-0.1151,-0.2312,0.3667
14048647,-0.1239,-0.3976,-19.3369,-10.1998,-4.9594,27.54,60.62,-0.1495,0.1581,-0.2441,0.4118
14067817,-0.0560,-0.3486,-19.2927,26.4167,8.3372,-18.57,40.46,-0.0806,0.0720,-0.1667,0.3108
14086987,-0.0323,-0.3345,-18.9375,3.4462,-16.4022,1.07,63.24,0.1366,-0.1280,-0.3839,0.5753
14106157,-0.0330,-0.3387,-18.6613,2.6266,3.5131,2.00,43.90,-0.0097,0.0140,-0.2806,0.5258
14125326,-0.0792,-0.3586,-18.8025,-20.9740,22.0031,32.06,28.20,-0.1796,0.1903,-0.1559,0.4226
14144497,0.1051,-0.4810,-18.9229,12.3192,26.9134,-27.04,40.42,0.1903,-0.1688,-0.5043,0.8484
14163666,0.1386,-0.3855,-19.1596,41.8248,17.0949,-61.23,36.87,0.1925,-0.1989,-0.1194,0.2957
14182835,-0.1724,-0.4203,-19.0883,-36.0257,1.9278,60.16,56.91,-0.1151,0.1366,-0.5559,0.7667
14202006,-0.1095,-0.2430,-18.8928,11.8648,33.9042,3.47,0.12,-0.1172,0.1387,-0.2742,0.3968
14221176,-0.0600,-0.3787,-18.8926,-15.8747,-24.6579,24.28,77.68,0.0075,0.0226,-0.3968,0.5215
14240346,-0.0418,-0.5456,-19.1474,-18.4797,-24.8543,24.33,101.23,0.0935,-0.0548,-0.6849,0.9215
14259515,0.0462,-0.3798,-19.0298,45.5261,44.3575,-51.99,8.82,0.0269,-0.0183,-0.4763,0.5989
14278685,-0.1420,-0.3058,-19.0502,-11.2566,22.6874,31.14,20.13,-0.2183,0.2484,-0.3473,0.4161
14297855,0.0634,-0.1769,-19.0762,42.9016,-9.1979,-51.78,33.96,0.0484,-0.0484,-0.0333,0.1086
14317026,0.0003,-0.2541,-19.0813,-33.2061,-0.0901,33.16,35.67,-0.0656,0.1043,-0.3946,0.5129
14336196,-0.0298,-0.5173,-19.1717,-14.7459,-27.6712,18.92,100.09,-0.0699,0.1129,-0.5430,0.6699
14355366,-0.1141,-0.6097,-18.9856,-13.3122,-36.7675,29.29,122.12,-0.2312,0.2613,-0.6333,0.7645
14374536,-0.0387,-0.3020,-18.9278,-9.9611,8.1716,15.38,34.11,-0.0226,0.0634,-0.1925,0.1946
14393705,0.0523,-0.1792,-19.1523,-5.2939,12.6123,-2.03,12.48,0.2204,-0.2118,-0.2312,0.2570
14412874,-0.0123,-0.2288,-19.4095,-31.1559,31.2020,32.88,0.84,0.2548,-0.2376,-0.4247,0.5538
14432045,-0.0531,-0.4956,-19.2758,32.5791,-7.1616,-25.14,76.54,-0.0720,0.0806,-0.6054,0.7667
14451214,-0.0005,-0.4465,-19.2234,6.9067,10.0663,-6.84,52.44,0.2204,-0.1989,-0.4742,0.5925
14470384,0.0304,-0.3294,-18.7596,25.2392,11.2875,-29.49,34.83,-0.0290,0.0441,-0.2828,0.3688
14489553,0.0304,-0.0749,-18.7983,46.2404,-33.2240,-50.49,43.71,0.0011,-0.0011,0.5344,-0.5753
